"Public Food Key","Classification","Food Name","Energy with dietary fibre, equated  (kJ)","Energy, without dietary fibre, equated  (kJ)","Moisture (water)  (g)","Protein  (g)","Nitrogen  (g)","Fat, total  (g)","Ash  (g)","Total dietary fibre  (g)","Alcohol  (g)","Fructose  (g)","Glucose  (g)","Sucrose (g)","Maltose  (g)","Lactose  (g)","Galactose  (g)","Maltotrios  (g)","Total sugars (g)","Added sugars (g)","Free sugars  (g)","Starch  (g)","Dextrin  (g)","Glycerol  (g)","Glycogen  (g)","Inulin  (g)","Erythritol  (g)","Maltitol  (g)","Mannitol  (g)","Xylitol  (g)","Maltodextrin (g)","Oligosaccharides   (g)","Polydextrose  (g)","Raffinose  (g)","Stachyose  (g)","Sorbitol  (g)","Resistant starch  (g)","Available carbohydrate, without sugar alcohols  (g)","Available carbohydrate, with sugar alcohols  (g)","Acetic acid  (g)","Citric acid  (g)","Fumaric acid  (g)","Lactic acid  (g)","Malic acid  (g)","Oxalic acid  (g)","Propionic acid  (g)","Quinic acid  (g)","Shikimic acid  (g)","Succinic acid  (g)","Tartaric acid  (g)","Aluminium (Al)  (ug)","Antimony (Sb)  (ug)","Arsenic (As)  (ug)","Cadmium (Cd)  (ug)","Calcium (Ca)  (mg)","Chromium (Cr)  (ug)","Chloride (Cl)  (mg)","Cobalt (Co)  (ug)","Copper (Cu)  (mg)","Fluoride (F)  (ug)","Iodine (I)  (ug)","Iron (Fe)  (mg)","Lead (Pb)  (ug)","Magnesium (Mg)  (mg)","Manganese (Mn)  (mg)","Mercury (Hg)  (ug)","Molybdenum (Mo)  (ug)","Nickel (Ni)  (ug)","Phosphorus (P)  (mg)","Potassium (K)  (mg)","Selenium (Se)  (ug)","Sodium (Na)  (mg)","Sulphur (S)  (mg)","Tin (Sn)  (ug)","Zinc (Zn)  (mg)","Retinol (preformed vitamin A)  (ug)","Alpha-carotene  (ug)","Beta-carotene  (ug)","Cryptoxanthin  (ug)","Beta-carotene equivalents (provitamin A)  (ug)","Vitamin A retinol equivalents  (ug)","Lutein  (ug)","Lycopene  (ug)","Xanthophyl  (ug)","Thiamin (B1)  (mg)","Riboflavin (B2)  (mg)","Niacin (B3)  (mg)","Niacin derived from tryptophan  (mg)","Niacin derived equivalents  (mg)","Pantothenic acid (B5)  (mg)","Pyridoxine (B6)  (mg)","Biotin (B7)  (ug)","Cobalamin (B12)  (ug)","Folate, natural  (ug)","Folic acid  (ug)","Total folates  (ug)","Dietary folate equivalents  (ug)","Vitamin C  (mg)","Cholecalciferol (D3)  (ug)","Ergocalciferol (D2)  (ug)","25-hydroxy cholecalciferol (25-OH D3)  (ug)","25-hydroxy ergocalciferol (25-OH D2)  (ug)","Vitamin D3 equivalents  (ug)","Alpha tocopherol  (mg)","Alpha tocotrienol  (mg)","Beta tocopherol  (mg)","Beta tocotrienol  (mg)","Delta tocopherol  (mg)","Delta tocotrienol  (mg)","Gamma tocopherol  (mg)","Gamma tocotrienol  (mg)","Vitamin E  (mg)","C4 (%T)","C6 (%T)","C8 (%T)","C10 (%T)","C11 (%T)","C12 (%T)","C13 (%T)","C14 (%T)","C15 (%T)","C16 (%T)","C17 (%T)","C18 (%T)","C19 (%T)","C20 (%T)","C21 (%T)","C22 (%T)","C23 (%T)","C24 (%T)","Total saturated fatty acids, equated (%T)","C10:1 (%T)","C12:1 (%T)","C14:1 (%T)","C15:1 (%T)","C16:1 (%T)","C17:1 (%T)","C18:1 (%T)","C18:1w5 (%T)","C18:1w6 (%T)","C18:1w7 (%T)","C18:1w9 (%T)","C20:1 (%T)","C20:1w9 (%T)","C20:1w13 (%T)","C20:1w11 (%T)","C22:1 (%T)","C22:1w9 (%T)","C22:1w11 (%T)","C24:1 (%T)","C24:1w9 (%T)","C24:1w11 (%T)","C24:1w13 (%T)","Total monounsaturated fatty acids, equated (%T)","C12:2 (%T)","C16:2w4 (%T)","C16:3 (%T)","C18:2w6 (%T)","C18:3w3 (%T)","C18:3w4 (%T)","C18:3w6 (%T)","C18:4w1 (%T)","C18:4w3 (%T)","C20:2 (%T)","C20:2w6 (%T)","C20:3 (%T)","C20:4 (%T)","C20:3w3 (%T)","C20:3w6 (%T)","C20:4w3 (%T)","C20:4w6 (%T)","C20:5w3 (%T)","C21:5w3 (%T)","C22:2 (%T)","C22:2w6 (%T)","C22:4w6 (%T)","C22:5w3 (%T)","C22:5w6 (%T)","C22:6w3 (%T)","Total polyunsaturated fatty acids, equated (%T)","Total long chain omega 3 fatty acids, equated  (%T)","Total undifferentiated fatty acids  (%T)","Total trans fatty acids, imputed  (%T)","C4 (g)","C6 (g)","C8 (g)","C10 (g)","C11 (g)","C12 (g)","C13 (g)","C14 (g)","C15 (g)","C16 (g)","C17 (g)","C18 (g)","C19 (g)","C20 (g)","C21 (g)","C22 (g)","C23 (g)","C24 (g)","Total saturated fatty acids, equated  (g)","C10:1 (g)","C12:1 (g)","C14:1 (g)","C15:1 (g)","C16:1 (g)","C17:1 (g)","C18:1 (g)","C18:1w5 (mg)","C18:1w6 (mg)","C18:1w7 (g)","C18:1w9 (mg)","C20:1 (g)","C20:1w9 (mg)","C20:1w13 (mg)","C20:1w11 (mg)","C22:1 (g)","C22:1w9 (mg)","C22:1w11 (mg)","C24:1 (g)","C24:1w9 (mg)","C24:1w11 (mg)","C24:1w13 (mg)","Total monounsaturated fatty acids, equated  (g)","C12:2 (g)","C16:2w4 (mg)","C16:3 (g)","C18:2w6 (g)","C18:3w3 (g)","C18:3w4 (g)","C18:3w6 (mg)","C18:4w1 (g)","C18:4w3 (mg)","C20:2 (mg)","C20:2w6 (mg)","C20:3 (mg)","C20:3w3 (mg)","C20:3w6 (mg)","C20:4 (g)","C20:4w3 (mg)","C20:4w6 (mg)","C20:5w3 (mg)","C21:5w3 (g)","C22:5w3 (mg)","C22:4w6 (mg)","C22:2 (g)","C22:2w6 (mg)","C22:5w6 (g)","C22:6w3 (mg)","Total polyunsaturated fatty acids, equated  (g)","Total long chain omega 3 fatty acids, equated  (mg)","Total undifferentiated fatty acids, mass basis basis  (mg)","Total trans fatty acids, imputed  (mg)","Caffeine  (mg)","Cholesterol  (mg)","Alanine  (mg/gN)","Arginine  (mg/gN)","Aspartic acid  (mg/gN)","Cystine plus cysteine  (mg/gN)","Glutamic acid  (mg/gN)","Glycine  (mg/gN)","Histidine  (mg/gN)","Isoleucine  (mg/gN)","Leucine  (mg/gN)","Lysine  (mg/gN)","Methionine  (mg/gN)","Phenylalanine  (mg/gN)","Proline  (mg/gN)","Serine  (mg/gN)","Threonine  (mg/gN)","Tyrosine  (mg/gN)","Tryptophan  (mg/gN)","Valine  (mg/gN)","Alanine  (mg)","Arginine  (mg)","Aspartic acid  (mg)","Cystine plus cysteine  (mg)","Glutamic acid  (mg)","Glycine  (mg)","Histidine  (mg)","Isoleucine  (mg)","Leucine  (mg)","Lysine  (mg)","Methionine  (mg)","Phenylalanine  (mg)","Proline  (mg)","Serine  (mg)","Threonine  (mg)","Tyrosine  (mg)","Tryptophan  (mg)","Valine  (mg)"
"F006951","18103","Pork, leg roast, untrimmed, baked, no added fat","926","926","59","31.2","4.99","10.7","1.3","0","0","0","0","0","0","0","nan","nan","0","0","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","1.2","0.1","6","0.3","58","nan","0.104","0","0.8","1.37","0.2","26","0.01","0","1.2","1","221","418","29.4","54","220","nan","3.29","4","nan","0","nan","0","4","nan","nan","nan","0.818","0.298","4.08","6.19","10.27","1.26","0.28","3.9","0.8","2","0","2","2","0","1.5","0","0","0","1.47","0.1","nan","nan","nan","nan","nan","nan","nan","0.08","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0","0","0","0","nan","0.01","nan","0.15","0.01","2.38","0.05","1.14","nan","0","nan","0","nan","0","3.76","nan","nan","0","nan","0.3","0.01","4.33","nan","nan","nan","nan","0.08","nan","nan","nan","0","nan","nan","0","nan","nan","nan","4.73","nan","nan","nan","1.26","0.09","nan","1.84","nan","nan","nan","50.51","nan","10.1","9.21","nan","nan","81.87","0","nan","19.31","15.63","nan","0","nan","15.63","1.55","34.937","nan","48.67","0","84","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","364","nan"
"F006965","18103","Pork, leg steak (rump), separable fat, raw","2603","2603","27.1","8.6","1.38","66.4","0.5","0","0","0","0","0","0","0","nan","nan","0","0","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","3","nan","60","nan","0.033","0","0.8","0.6","nan","8","0.005","nan","nan","nan","100","140","4.8","23","50","nan","0.46","26","nan","0","nan","0","26","nan","nan","nan","1.1","0.07","4.1","1.71","5.81","0.9","0.3","2.8","0.9","4","0","4","4","0","5.5","0","0","0","5.5","0.5","nan","nan","nan","nan","nan","nan","nan","0.51","0","0","0","0","nan","0","nan","1.3","0.1","23.6","0.6","12","nan","0.1","nan","0","nan","0","37.7","nan","nan","0","nan","2.4","0","45","nan","nan","nan","nan","0.8","nan","nan","nan","0","nan","nan","0","nan","nan","nan","48.2","nan","nan","nan","11.4","0.8","nan","0","nan","nan","nan","0.5","nan","nan","0.1","0","nan","0.2","0","nan","nan","0","0","0","nan","0","13","0","nan","0.6","0","0","0","0","nan","0","nan","0.82","0.06","14.93","0.38","7.59","nan","0.06","nan","0","nan","0","23.86","nan","nan","0","nan","1.52","0","28.48","nan","nan","nan","nan","0.51","nan","nan","nan","0","nan","nan","0","nan","nan","nan","30.5","nan","nan","nan","7.21","0.51","nan","0","nan","nan","nan","316.4","nan","63.28","0","nan","nan","126.56","0","nan","0","0","nan","0","nan","0","8.23","0","nan","379.68","0","38","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","73","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","100","nan"
"F006964","18103","Pork, leg steak (rump), separable fat, fried, no added fat","2191","2191","35.2","12","1.92","53.7","0.8","0","0","0","0","0","0","0","nan","nan","0","0","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","1.2","0.1","4","0.3","90","nan","0.047","0","0.8","0.66","0.2","14","0.007","0","1.2","1","100","230","23.8","36","50","nan","0.58","35","nan","0","nan","0","35","nan","nan","nan","0.52","0","3.6","2.38","5.98","0.8","0.29","7.5","1.4","8","0","8","8","0","6","0","0","0","6","0.4","nan","nan","nan","nan","nan","nan","nan","0.43","0","0","0","0","nan","0","nan","1.3","0.1","23.6","0.6","12","nan","0.1","nan","0","nan","0","37.7","nan","nan","0","nan","2.4","0","45","nan","nan","nan","nan","0.8","nan","nan","nan","0","nan","nan","0","nan","nan","nan","48.2","nan","nan","nan","11.4","0.8","nan","0","nan","nan","nan","0.5","nan","nan","0.1","0","nan","0.2","0","nan","nan","0","0","0","nan","0","13","0","nan","0.6","0","0","0","0","nan","0","nan","0.66","0.05","12.08","0.31","6.14","nan","0.05","nan","0","nan","0","19.29","nan","nan","0","nan","1.23","0","23.03","nan","nan","nan","nan","0.41","nan","nan","nan","0","nan","nan","0","nan","nan","nan","24.67","nan","nan","nan","5.83","0.41","nan","0","nan","nan","nan","255.88","nan","51.18","0","nan","nan","102.35","0","nan","0","0","nan","0","nan","0","6.65","0","nan","307.06","0","32","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","73","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","140","nan"
"F006963","18103","Pork, leg steak (round, rump, topside, silverside), lean, raw","466","466","74.6","23.5","3.76","1.8","1.3","0","0","0","0","0","0","0","nan","nan","0","0","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","4","nan","60","nan","0.068","0.01","0.8","0.81","nan","25","0.01","nan","nan","nan","240","382","17.1","50","230","nan","1.76","0","nan","0","nan","0","0","nan","nan","nan","1.115","0.048","10.55","4.66","15.21","1.08","0.63","2.8","0.2","45","0","45","45","0","0.4","0","0","0","0.4","0.2","nan","nan","nan","nan","nan","nan","nan","0.15","0","0","0","0","nan","0","nan","1","0","22.5","0.4","11.6","nan","0","nan","0.2","nan","0.3","36.15","nan","nan","0","nan","3","0.8","37.8","nan","nan","nan","nan","0.6","nan","nan","nan","0","nan","nan","0","nan","nan","nan","42.25","nan","nan","nan","14","0.6","nan","0.1","nan","nan","nan","0.4","nan","nan","0","0.5","nan","3.8","0","nan","nan","0","0.5","0.6","nan","0.4","20.92","1.025","nan","0.4","0","0","0","0","nan","0","nan","0.02","0","0.37","0.01","0.19","nan","0","nan","0","nan","0","0.59","nan","nan","0","nan","0.05","0.01","0.62","nan","nan","nan","nan","0.01","nan","nan","nan","0","nan","nan","0","nan","nan","nan","0.69","nan","nan","nan","0.23","0.01","nan","1.64","nan","nan","nan","6.55","nan","0","8.6","nan","nan","62.65","0.41","nan","10.24","7.78","nan","0","nan","6.14","0.34","16.79","nan","6.55","0","48","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","73","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","274","nan"
"F006962","18103","Pork, leg steak (round, rump, topside, silverside), lean, fried, no added fat","589","589","67.8","28.8","4.6","2.7","1.4","0","0","0","0","0","0","0","nan","nan","0","0","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","1.2","0.1","5","0.3","50","nan","0.094","0.01","0.8","0.97","0.2","27","0.011","0","1.2","1","250","409","23.1","54","260","nan","2.51","0","nan","0","nan","0","0","nan","nan","nan","1.118","0.05","7.28","5.71","12.99","1.12","0.55","3.1","0.4","43","0","43","43","0","0.4","0","0","0","0.4","0","nan","nan","nan","nan","nan","nan","nan","0","0","0","0","0","nan","0","nan","1","0","22.5","0.4","11.6","nan","0","nan","0.2","nan","0.3","36.15","nan","nan","0","nan","3","0.8","37.8","nan","nan","nan","nan","0.6","nan","nan","nan","0","nan","nan","0","nan","nan","nan","42.25","nan","nan","nan","14","0.6","nan","0.1","nan","nan","nan","0.4","nan","nan","0","0.5","nan","3.8","0","nan","nan","0","0.5","0.6","nan","0.4","20.92","1.025","nan","0.4","0","0","0","0","nan","0","nan","0.02","0","0.55","0.01","0.28","nan","0","nan","0","nan","0.01","0.89","nan","nan","0","nan","0.07","0.02","0.93","nan","nan","nan","nan","0.02","nan","nan","nan","0","nan","nan","0","nan","nan","nan","1.04","nan","nan","nan","0.34","0.01","nan","2.46","nan","nan","nan","9.83","nan","0","12.9","nan","nan","93.98","0.61","nan","15.36","11.67","nan","0","nan","9.21","0.51","25.184","nan","9.83","0","58","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","73","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","336","nan"
"F006960","18103","Pork, leg steak (round, rump, topside, silverside), untrimmed, raw","486","486","74.2","23.3","3.73","2.4","1.3","0","0","0","0","0","0","0","nan","nan","0","0","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","4","nan","60","nan","0.067","0.01","0.8","0.81","nan","25","0.01","nan","nan","nan","239","380","17","49","228","nan","1.75","0","nan","0","nan","0","0","nan","nan","nan","1.115","0.048","10.49","4.63","15.12","1.07","0.63","2.8","0.2","44","0","44","44","0","0.4","0","0","0","0.45","0.2","nan","nan","nan","nan","nan","nan","nan","0.15","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0","0","0","0","nan","0","nan","0.02","0","0.51","0.01","0.26","nan","0","nan","0","nan","0","0.82","nan","nan","0","nan","0.06","0.01","0.89","nan","nan","nan","nan","0.02","nan","nan","nan","0","nan","nan","0","nan","nan","nan","0.98","nan","nan","nan","0.3","0.01","nan","1.62","nan","nan","nan","9.58","nan","0.62","8.52","nan","nan","63.28","0.4","nan","10.14","7.7","nan","0","nan","6.08","0.42","16.625","nan","10.2","0","48","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","272","nan"
"F006959","18103","Pork, leg steak (round, rump, topside, silverside), untrimmed, fried, no added fat","603","603","67.5","28.6","4.58","3.1","1.4","0","0","0","0","0","0","0","nan","nan","0","0","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","1.2","0.1","5","0.3","50","nan","0.093","0.01","0.8","0.97","0.2","27","0.011","0","1.2","1","249","407","23.1","54","258","nan","2.5","0","nan","0","nan","0","0","nan","nan","nan","1.112","0.05","7.24","5.68","12.93","1.12","0.55","3.1","0.5","42","0","42","42","0","0.4","0","0","0","0.45","0","nan","nan","nan","nan","nan","nan","nan","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0","0","0","0","nan","0","nan","0.03","0","0.65","0.01","0.34","nan","0","nan","0","nan","0.01","1.05","nan","nan","0","nan","0.08","0.02","1.12","nan","nan","nan","nan","0.02","nan","nan","nan","0","nan","nan","0","nan","nan","nan","1.25","nan","nan","nan","0.39","0.02","nan","2.44","nan","nan","nan","11.99","nan","0.45","12.78","nan","nan","94.05","0.61","nan","15.22","11.57","nan","0","nan","9.13","0.57","24.962","nan","12.44","0","58","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","334","nan"
"F007016","18103","Pork, loin chop, separable fat, raw","2694","2694","23.8","7.9","1.26","69.2","0.4","0","0","0","0","0","0","0","nan","nan","0","0","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","16","nan","50","nan","0.032","25.02","0","0.29","nan","6","0.004","nan","nan","nan","91","104","6","24","50","nan","0.37","17","nan","0","nan","0","17","nan","nan","nan","0.172","0.108","1.6","1.56","3.16","0.23","0.06","8.8","1.1","4","0","4","4","0","5.5","0","0","0","5.5","0.4","nan","nan","nan","nan","nan","nan","nan","0.36","0","0","0","0","nan","0","nan","1.4","0","25.4","0.6","13.9","nan","0.1","nan","0","nan","0","41.38","nan","nan","0","nan","2.4","0","44.7","nan","nan","nan","nan","0.9","nan","nan","nan","0","nan","nan","0","nan","nan","nan","48.02","nan","nan","nan","8.7","0.5","nan","0","nan","nan","nan","0.5","nan","nan","0","0","nan","0.1","0","nan","nan","0","0","0","nan","0","9.8","0","nan","0.5","0","0","0","0","nan","0","nan","0.91","0","16.75","0.38","9.17","nan","0.08","nan","0","nan","0","27.29","nan","nan","0","nan","1.6","0","29.48","nan","nan","nan","nan","0.59","nan","nan","nan","0","nan","nan","0","nan","nan","nan","31.67","nan","nan","nan","5.74","0.35","nan","0","nan","nan","nan","309.95","nan","0","0","nan","nan","65.95","0","nan","0","0","nan","0","nan","0","6.46","0","nan","329.74","0","46","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","73","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","92","nan"
"F007015","18103","Pork, loin chop, separable fat, BBQ'd, no added fat","2765","2765","21.4","8.8","1.4","70.7","0.6","0","0","0","0","0","0","0","nan","nan","0","0","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","1.2","0.1","17","0.3","70","nan","0.039","0.04","0.4","0.36","0.2","9","0.005","0","1.2","1","130","159","20.4","33","70","nan","0.43","17","nan","0","nan","0","17","nan","nan","nan","0.21","0.113","3.17","1.74","4.9","0.37","0.07","9.7","1.1","8","0","8","8","0","6","0","0","0","6","0.4","nan","nan","nan","nan","nan","nan","nan","0.35","0","0","0","0","nan","0","nan","1.4","0","25.4","0.6","13.9","nan","0.1","nan","0","nan","0","41.38","nan","nan","0","nan","2.4","0","44.7","nan","nan","nan","nan","0.9","nan","nan","nan","0","nan","nan","0","nan","nan","nan","48.02","nan","nan","nan","8.7","0.5","nan","0","nan","nan","nan","0.5","nan","nan","0","0","nan","0.1","0","nan","nan","0","0","0","nan","0","9.8","0","nan","0.5","0","0","0","0","nan","0","nan","0.93","0","17.11","0.38","9.36","nan","0.09","nan","0","nan","0","27.88","nan","nan","0","nan","1.63","0","30.12","nan","nan","nan","nan","0.61","nan","nan","nan","0","nan","nan","0","nan","nan","nan","32.35","nan","nan","nan","5.86","0.36","nan","0","nan","nan","nan","316.67","nan","0","0","nan","nan","67.38","0","nan","0","0","nan","0","nan","0","6.6","0","nan","336.88","0","41","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","73","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","102","nan"
"F007019","18103","Pork, loin chop, lean, raw","461","461","73.8","23.2","3.71","1.8","1.2","0","0","0","0","0","0","0","nan","nan","0","0","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","11","nan","60","nan","0.048","0.03","0","0.46","nan","26","0.008","nan","nan","nan","220","426","0","52","220","nan","1.29","0","nan","0","nan","0","0","nan","nan","nan","0.755","0.145","6.82","4.61","11.42","0.78","0.34","1.8","0.2","36","0","36","36","0","0.4","0","0","0","0.4","0.2","nan","nan","nan","nan","nan","nan","nan","0.17","0","0","0","0","nan","0","nan","1.2","0","24","0.4","12.3","nan","0","nan","0.1","nan","0","38","nan","nan","0","nan","3.1","0.6","40.7","nan","nan","nan","nan","0.7","nan","nan","nan","0","nan","nan","0","nan","nan","nan","45.05","nan","nan","nan","10.8","0.5","nan","0","nan","nan","nan","0.4","nan","nan","0","0.4","nan","2.8","0.2","nan","nan","0","0.4","0.4","nan","0.4","16.3","1.02","nan","0.4","0","0","0","0","nan","0","nan","0.02","0","0.39","0.01","0.2","nan","0","nan","0","nan","0","0.62","nan","nan","0","nan","0.05","0.01","0.67","nan","nan","nan","nan","0.01","nan","nan","nan","0","nan","nan","0","nan","nan","nan","0.74","nan","nan","nan","0.18","0.01","nan","0","nan","nan","nan","5.73","nan","0","6.55","nan","nan","46.36","3.6","nan","7.37","6.55","nan","0","nan","5.73","0.27","16.708","nan","6.55","0","48","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","73","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","271","nan"
"F007017","18103","Pork, loin chop, lean, BBQ'd, no added fat","687","687","63.2","30.6","4.9","4.5","1.4","0","0","0","0","0","0","0","nan","nan","0","0","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","1.2","0.1","16","0.3","110","nan","0.065","0.02","0.4","0.64","0.2","24","0.007","0","1.2","1","250","400","35","58","330","nan","1.8","0","nan","0","nan","0","0","nan","nan","nan","0.857","0.148","9.25","6.08","15.32","0.88","0.3","3.7","0.2","20","0","20","20","0","0.4","0","0","0","0.4","0","nan","nan","nan","nan","nan","nan","nan","0","0","0","0","0","nan","0","nan","1.2","0","24","0.4","12.3","nan","0","nan","0.1","nan","0","38","nan","nan","0","nan","3.1","0.6","40.7","nan","nan","nan","nan","0.7","nan","nan","nan","0","nan","nan","0","nan","nan","nan","45.05","nan","nan","nan","10.8","0.5","nan","0","nan","nan","nan","0.4","nan","nan","0","0.4","nan","2.8","0.2","nan","nan","0","0.4","0.4","nan","0.4","16.3","1.02","nan","0.4","0","0","0","0","nan","0","nan","0.05","0","0.98","0.02","0.5","nan","0","nan","0","nan","0","1.56","nan","nan","0","nan","0.13","0.02","1.67","nan","nan","nan","nan","0.03","nan","nan","nan","0","nan","nan","0","nan","nan","nan","1.84","nan","nan","nan","0.44","0.02","nan","0","nan","nan","nan","14.33","nan","0","16.38","nan","nan","115.89","9.01","nan","18.43","16.38","nan","0","nan","14.33","0.67","41.769","nan","16.38","0","71","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","73","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","357","nan"
